순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,001800,오리온홀딩스,25750,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.29,0.69,0.53,108.1,87.4,86,26,30,25,5
2,002810,삼영무역,22800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,2.04,0.88,117.7,95.2,84,29,30,10,15
3,089860,롯데렌탈,37950,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.65,1.57,0.28,118.4,95.0,83,28,30,10,15
4,033780,KT&G,184900,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.18,1.0,0.41,111.4,92.2,83,28,30,10,15
5,092230,KPX홀딩스,83600,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.37,1.42,0.22,103.2,85.2,81,26,30,10,15
6,271560,오리온,135400,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.62,1.32,0.42,105.5,83.2,80,25,30,10,15
7,001450,현대해상,39150,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.7,1.15,0.85,119.5,96.2,74,29,30,10,5
8,105560,KB금융,166900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.48,0.82,0.64,109.5,92.5,73,28,30,10,5
9,003690,코리안리,13710,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.57,0.93,0.62,107.9,91.5,72,27,30,10,5
10,055550,신한지주,100800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.54,0.76,0.62,107.1,90.7,72,27,30,10,5
11,383220,F&F,79500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.35,0.84,0.42,111.3,84.4,70,25,30,10,5
12,417310,코람코더원리츠,10660,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.76,1.33,0.38,111.2,96.7,64,29,10,10,15
13,078930,GS,88600,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.8,1.03,0.67,126.5,97.0,54,29,10,10,5
14,483650,달바글로벌,241000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.71,1.72,0.37,130.0,93.2,53,28,10,10,5
15,086790,하나금융지주,125400,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.73,1.02,0.57,108.9,91.7,53,28,10,10,5
