순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,002810,삼영무역,22300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.05,0.53,1.74,108.9,71.2,91,21,30,25,15
2,181710,NHN,65900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.23,0.55,1.36,157.9,97.2,89,29,30,25,5
3,317400,자이에스앤디,11240,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,0.99,0.75,213.8,99.0,85,30,30,10,15
4,073240,금호타이어,7120,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.19,0.38,0.98,117.6,83.1,85,25,30,25,5
5,007070,GS리테일,25650,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.33,0.63,1.5,108.1,82.8,85,25,30,25,5
6,161890,한국콜마,150600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.34,0.76,1.3,163.6,96.7,84,29,30,10,15
7,001450,현대해상,53500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,0.98,1.42,150.8,95.7,84,29,30,10,15
8,089860,롯데렌탈,50400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.44,1.65,1.13,147.0,93.9,83,28,30,10,15
9,192820,코스맥스,282000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.34,0.96,0.87,144.3,93.7,83,28,30,10,15
10,180640,한진칼,133800,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.4,0.67,0.58,111.6,72.2,82,22,30,25,5
11,092230,KPX홀딩스,98900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.6,0.88,0.92,117.2,85.9,81,26,30,10,15
12,086790,하나금융지주,139500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.4,1.15,1.01,115.4,85.1,81,26,30,10,15
13,282330,BGF리테일,150600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.16,0.8,0.97,116.4,84.3,80,25,30,10,15
14,105560,KB금융,177900,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,1.25,1.09,111.9,83.8,80,25,30,10,15
15,028670,팬오션,5940,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.45,1.16,4.71,111.6,80.8,79,24,30,10,15
16,000815,삼성화재우,441500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.62,1.01,3.07,112.0,77.5,78,23,30,10,15
17,003490,대한항공,29150,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,1.05,1.01,113.1,76.8,78,23,30,10,15
18,007690,국도화학,40750,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.58,1.26,1.2,109.8,73.2,77,22,30,10,15
19,002990,금호건설,16510,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.12,1.02,0.31,229.8,100.0,75,30,30,10,5
20,078930,GS,118900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.35,0.79,1.52,151.3,96.2,74,29,30,10,5
21,010950,S-Oil,147900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,1.01,0.81,124.0,93.4,73,28,30,10,5
22,088350,한화생명,6110,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.35,2.44,4.8,127.6,92.4,73,28,30,10,5
23,055550,신한지주,114500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.76,1.35,0.95,116.2,87.1,61,26,10,10,15
24,000810,삼성화재,702000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.81,0.9,2.41,124.2,86.6,61,26,10,10,15
25,003690,코리안리,15470,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.76,0.98,2.74,117.1,80.6,59,24,10,10,15
26,138040,메리츠금융지주,136900,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,1.49,1.67,0.82,118.7,77.8,58,23,10,10,15
27,278470,에이피알,406000,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.1,0.94,2.26,111.1,87.4,51,26,10,10,5
