순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,49300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.47,0.73,140.6,93.4,98,28,30,25,15
2,092230,KPX홀딩스,97700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.23,0.44,1.13,114.5,83.1,95,25,30,25,15
3,282330,BGF리테일,145000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.19,0.51,0.54,111.1,79.8,94,24,30,25,15
4,002990,금호건설,14710,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.2,0.22,0.83,192.7,99.5,90,30,30,25,5
5,073240,금호타이어,7370,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.49,0.3,120.7,85.9,86,26,30,25,5
6,317400,자이에스앤디,11330,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.29,1.03,1.59,205.1,99.2,85,30,30,10,15
7,001450,현대해상,51300,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.16,0.74,0.96,141.0,93.9,83,28,30,10,15
8,090430,아모레퍼시픽,140500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.13,0.63,1.12,107.9,76.3,83,23,30,25,5
9,000810,삼성화재,686000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.15,0.72,120.0,87.9,81,26,30,10,15
10,055550,신한지주,112900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.57,0.98,0.69,113.3,86.6,81,26,30,10,15
11,086790,하나금융지주,137800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.5,1.03,0.69,112.7,85.4,81,26,30,10,15
12,105560,KB금융,177900,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.5,1.0,0.7,110.8,82.8,80,25,30,10,15
13,028670,팬오션,6030,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.1,0.9,0.78,112.1,82.6,80,25,30,10,15
14,003490,대한항공,28950,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,1.18,0.5,111.3,74.2,77,22,30,10,15
15,003690,코리안리,14900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.32,0.78,1.47,111.7,73.5,77,22,30,10,15
16,078930,GS,119000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.22,1.13,0.44,147.1,97.2,74,29,30,10,5
17,005935,삼성전자우,193300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.27,0.77,0.84,113.9,96.5,74,29,30,10,5
18,161890,한국콜마,141300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.09,0.71,1.02,148.7,95.7,74,29,30,10,5
19,010950,S-Oil,150000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.64,1.66,0.48,123.4,95.2,74,29,30,10,5
20,006360,GS건설,38500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.31,0.79,1.96,129.7,92.7,73,28,30,10,5
21,008930,한미사이언스,50300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.46,0.86,0.57,131.7,91.7,73,28,30,10,5
22,192820,코스맥스,270500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.09,0.85,1.01,136.3,90.7,72,27,30,10,5
23,028050,삼성E&A,51000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.38,0.93,0.97,114.2,90.2,72,27,30,10,5
24,088350,한화생명,5990,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.21,0.9,1.09,122.7,88.4,72,27,30,10,5
25,005830,DB손해보험,191700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,1.21,0.66,115.2,81.6,69,24,30,10,5
26,180640,한진칼,139500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.68,1.07,0.37,115.4,81.3,69,24,30,10,5
27,094800,맵스리얼티,7280,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.12,1.13,1.41,113.5,80.3,69,24,30,10,5
28,096770,SK이노베이션,144800,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.01,1.78,0.39,122.0,89.4,52,27,10,10,5
29,138040,메리츠금융지주,128400,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.86,0.96,0.64,110.6,74.5,47,22,10,10,5
