순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,002810,삼영무역,23050,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.2,0.66,1.24,115.2,81.1,94,24,30,25,15
2,073240,금호타이어,7420,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.36,0.56,1.77,124.3,89.7,87,27,30,25,5
3,007070,GS리테일,26700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.35,0.61,0.8,114.3,83.4,85,25,30,25,5
4,317400,자이에스앤디,10160,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.38,1.58,0.69,211.1,97.7,84,29,30,10,15
5,078930,GS,113600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.54,1.09,1.31,152.7,96.0,84,29,30,10,15
6,161890,한국콜마,137800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.54,0.88,1.39,159.7,95.2,84,29,30,10,15
7,483650,달바글로벌,225000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.4,0.66,0.95,116.4,78.6,84,24,30,25,5
8,089860,롯데렌탈,45900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.38,1.96,1.0,138.7,91.2,82,27,30,10,15
9,417310,코람코더원리츠,10820,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.13,1.54,5.04,110.5,89.2,82,27,30,10,15
10,003690,코리안리,14620,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.7,0.91,1.04,112.7,79.1,79,24,30,10,15
11,002990,금호건설,15650,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.38,1.16,8.0,244.5,99.7,75,30,30,10,5
12,005090,SGC에너지,62500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.26,1.14,1.42,133.9,94.2,73,28,30,10,5
13,009420,한올바이오파마,62600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.22,0.81,1.56,118.4,91.9,73,28,30,10,5
14,010950,S-Oil,142600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.35,0.8,0.79,123.4,91.7,73,28,30,10,5
15,006360,GS건설,35600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.2,0.77,0.79,127.5,90.9,72,27,30,10,5
16,278470,에이피알,386000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.28,0.81,2.23,109.3,87.7,71,26,30,10,5
17,028670,팬오션,5770,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.64,1.62,0.71,110.7,80.4,69,24,30,10,5
18,181710,NHN,71900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.3,1.54,1.02,183.5,98.0,64,29,10,10,15
19,001450,현대해상,48850,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,2.06,1.78,0.61,144.3,92.7,63,28,10,10,15
20,092230,KPX홀딩스,96200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.72,1.91,0.4,116.6,85.4,61,26,10,10,15
