순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,020120,키다리스튜디오,8980,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.33,0.55,0.66,227.4,99.2,100,30,30,25,15
2,089860,롯데렌탈,47900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.47,1.0,135.3,92.9,98,28,30,25,15
3,192820,코스맥스,280500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.13,0.63,1.35,140.2,91.7,98,28,30,25,15
4,003490,대한항공,29250,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.22,0.55,1.36,111.9,80.9,94,24,30,25,15
5,092230,KPX홀딩스,96200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.2,0.57,0.47,112.2,79.3,94,24,30,25,15
6,003690,코리안리,15120,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.45,0.68,1.43,112.8,78.8,94,24,30,25,15
7,317400,자이에스앤디,10360,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.54,1.21,183.3,98.2,89,29,30,25,5
8,078930,GS,111400,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.2,0.6,1.79,136.2,96.0,89,29,30,25,5
9,006360,GS건설,36800,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.21,0.45,0.47,122.5,92.4,88,28,30,25,5
10,008930,한미사이언스,50700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.43,0.5,0.73,132.2,92.2,88,28,30,25,5
11,001450,현대해상,48400,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.21,0.56,0.63,131.5,90.9,87,27,30,25,5
12,088350,한화생명,5870,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.11,0.56,0.62,119.1,88.2,86,26,30,25,5
13,073240,금호타이어,7050,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.41,0.19,0.97,115.1,86.6,86,26,30,25,5
14,180640,한진칼,137000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.13,0.48,0.89,112.9,82.1,85,25,30,25,5
15,161890,한국콜마,150200,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.18,0.8,1.42,155.5,96.2,84,29,30,10,15
16,028670,팬오션,5790,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.39,0.65,0.54,107.3,79.8,84,24,30,25,5
17,280360,롯데웰푸드,131200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.34,0.61,1.76,112.8,78.1,83,23,30,25,5
18,094800,맵스리얼티,7910,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.55,2.3,1.27,122.6,89.4,82,27,30,10,15
