순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,415640,KB발해인프라,10590,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.35,0.66,0.75,105.3,83.4,95,25,30,25,15
2,417310,코람코더원리츠,10700,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.61,1.24,0.84,111.5,94.2,83,28,30,10,15
3,089860,롯데렌탈,39350,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.54,1.97,1.04,122.6,94.0,83,28,30,10,15
4,002810,삼영무역,22350,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,1.75,0.4,115.2,91.2,82,27,30,10,15
5,033780,KT&G,179100,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.37,1.42,1.41,107.7,86.9,81,26,30,10,15
6,383220,F&F,80500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.41,1.15,1.26,112.7,81.4,79,24,30,10,15
7,092230,KPX홀딩스,83300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.34,1.19,1.37,102.7,78.1,78,23,30,10,15
8,078930,GS,89000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.5,1.63,1.34,126.7,95.2,74,29,30,10,5
9,001450,현대해상,38450,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.54,1.24,0.64,117.2,92.7,73,28,30,10,5
10,105560,KB금융,168500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.42,1.0,0.9,110.4,90.2,72,27,30,10,5
11,007070,GS리테일,24750,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.31,1.25,0.9,108.3,88.4,72,27,30,10,5
12,003690,코리안리,13770,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,1.05,0.77,108.3,88.2,71,26,30,10,5
13,086790,하나금융지주,125400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.51,1.1,0.98,108.7,87.4,71,26,30,10,5
14,001800,오리온홀딩스,25500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.27,0.86,0.75,106.9,82.9,70,25,30,10,5
15,161890,한국콜마,95200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,1.04,0.83,116.7,73.4,67,22,30,10,5
16,005430,한국공항,90700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,1.06,2.5,0.44,131.3,92.5,63,28,10,10,15
17,028670,팬오션,5470,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.04,2.31,2.04,108.3,87.2,51,26,10,10,5
18,483650,달바글로벌,221000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.21,2.03,0.79,119.0,86.7,51,26,10,10,5
19,005945,NH투자증권우,25250,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.97,2.09,0.81,103.6,85.2,51,26,10,10,5
