순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,086790,하나금융지주,133600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.46,0.65,1.11,111.6,79.0,94,24,30,25,15
2,003690,코리안리,14500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.14,0.39,0.8,110.8,72.0,92,22,30,25,15
3,002990,금호건설,15150,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.15,0.53,0.37,223.9,99.5,90,30,30,25,5
4,317400,자이에스앤디,11030,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.32,0.79,0.88,219.5,98.5,85,30,30,10,15
5,073240,금호타이어,7110,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.11,0.22,0.94,118.2,82.3,85,25,30,25,5
6,078930,GS,123200,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.63,1.07,0.72,161.1,95.5,84,29,30,10,15
7,161890,한국콜마,145800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.65,0.71,0.9,163.9,94.4,83,28,30,10,15
8,192820,코스맥스,283000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.43,1.14,0.74,147.5,91.9,83,28,30,10,15
9,007070,GS리테일,25750,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.6,0.63,2.06,109.3,77.8,83,23,30,25,5
10,001450,현대해상,48950,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.52,0.75,1.66,141.3,90.2,82,27,30,10,15
11,089860,롯데렌탈,47250,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.19,0.92,0.93,140.4,88.6,82,27,30,10,15
12,105560,KB금융,168100,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.31,0.55,1.23,106.6,73.5,82,22,30,25,5
13,417310,코람코더원리츠,10930,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.21,2.5,0.73,110.8,80.6,79,24,30,10,15
14,055550,신한지주,108800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.69,0.71,1.18,111.5,78.8,79,24,30,10,15
15,181710,NHN,70100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.68,0.86,1.49,173.4,96.5,74,29,30,10,5
16,006360,GS건설,36900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.55,1.04,0.5,129.6,93.7,73,28,30,10,5
17,005935,삼성전자우,194300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.45,1.22,0.8,118.6,93.2,73,28,30,10,5
18,009420,한올바이오파마,64300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,0.91,0.47,120.7,92.2,73,28,30,10,5
19,010950,S-Oil,136700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,0.86,0.84,116.5,85.1,71,26,30,10,5
20,278470,에이피알,434500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.99,1.09,0.9,120.9,90.7,62,27,10,10,15
21,092230,KPX홀딩스,101700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.6,1.92,0.36,121.9,83.3,60,25,10,10,15
22,000810,삼성화재,682000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.83,0.76,0.96,122.0,80.3,59,24,10,10,15
23,003490,대한항공,28200,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.97,1.32,0.51,110.1,72.2,57,22,10,10,15
24,028670,팬오션,5620,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,1.07,1.84,0.44,106.5,74.5,47,22,10,10,5
25,000815,삼성화재우,422500,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.73,0.95,0.76,107.7,71.5,46,21,10,10,5
