순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,417310,코람코더원리츠,10890,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.06,0.64,1.75,111.6,87.9,96,26,30,25,15
2,317400,자이에스앤디,10100,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.59,1.9,1.01,213.6,98.7,85,30,30,10,15
3,089860,롯데렌탈,45300,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,1.74,1.12,137.8,91.2,82,27,30,10,15
4,028670,팬오션,6040,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.7,1.47,2.71,116.5,84.6,80,25,30,10,15
5,007070,GS리테일,27250,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,0.82,0.75,117.1,83.4,80,25,30,10,15
6,055550,신한지주,106500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.31,0.75,1.23,110.6,80.6,79,24,30,10,15
7,002810,삼영무역,23200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,0.78,0.69,116.6,79.1,79,24,30,10,15
8,086790,하나금융지주,130700,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.3,0.9,0.96,110.7,77.8,78,23,30,10,15
9,010950,S-Oil,153600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.33,0.82,1.38,133.9,93.2,73,28,30,10,5
10,006360,GS건설,34150,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.2,0.82,0.82,123.3,92.2,73,28,30,10,5
11,073240,금호타이어,7790,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,1.37,0.6,131.1,91.7,73,28,30,10,5
12,009420,한올바이오파마,58700,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.28,0.8,1.79,111.3,89.4,72,27,30,10,5
13,278470,에이피알,396500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.24,0.84,0.95,113.0,87.4,71,26,30,10,5
14,161390,한국타이어앤테크놀로지,69100,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.57,0.84,1.11,107.1,80.4,69,24,30,10,5
15,105560,KB금융,168500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.11,0.76,0.9,108.1,76.1,68,23,30,10,5
16,181710,NHN,70500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,4.32,2.41,0.72,182.4,98.0,64,29,10,10,15
17,007340,DN오토모티브,62800,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,3.99,3.09,1.08,169.3,97.0,64,29,10,10,15
18,078930,GS,119300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.06,1.6,0.8,162.1,96.0,64,29,10,10,15
19,161890,한국콜마,129700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.24,1.75,0.83,152.0,92.9,63,28,10,10,15
20,001450,현대해상,49700,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,2.04,1.98,1.27,148.0,91.9,63,28,10,10,15
21,092230,KPX홀딩스,98200,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,1.76,2.06,0.82,119.6,85.1,61,26,10,10,15
22,003690,코리안리,15230,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.83,1.11,0.97,117.8,81.9,60,25,10,10,15
23,005090,SGC에너지,62500,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.89,1.75,0.59,135.5,95.7,54,29,10,10,5
24,005950,이수화학,13570,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.88,2.21,2.03,125.7,91.4,52,27,10,10,5
25,001800,오리온홀딩스,25800,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.89,1.04,0.92,106.2,71.8,47,22,10,10,5
