순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,001450,현대해상,51500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.55,0.65,1.41,149.3,92.4,98,28,30,25,15
2,007070,GS리테일,27250,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.47,0.48,1.09,115.8,82.8,95,25,30,25,15
3,086790,하나금융지주,133200,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.64,0.57,1.02,111.5,80.3,94,24,30,25,15
4,055550,신한지주,107400,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.69,0.64,0.88,110.3,79.3,94,24,30,25,15
5,003690,코리안리,14510,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.2,0.42,1.48,111.1,73.2,92,22,30,25,15
6,002990,금호건설,15690,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.18,0.58,1.66,234.4,100.0,90,30,30,25,5
7,010950,S-Oil,141000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.08,0.67,2.13,120.5,87.9,86,26,30,25,5
8,073240,금호타이어,7080,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.18,0.24,0.84,117.8,85.4,86,26,30,25,5
9,317400,자이에스앤디,10950,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,0.85,1.14,220.0,98.7,85,30,30,10,15
10,078930,GS,127700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.68,1.03,1.07,167.9,96.5,84,29,30,10,15
11,005090,SGC에너지,64400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.21,0.96,0.76,134.8,95.2,84,29,30,10,15
12,161390,한국타이어앤테크놀로지,68300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.26,0.42,1.06,105.2,75.3,83,23,30,25,5
13,089860,롯데렌탈,47500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.2,1.07,0.38,141.7,89.4,82,27,30,10,15
14,483650,달바글로벌,231500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.37,0.68,1.2,118.4,71.2,81,21,30,25,5
15,417310,코람코더원리츠,11030,매수,Stage 2A (돌파 초입 우량),2차 타점 (피벗 거래량 돌파),1,0.24,1.8,1.52,112.0,81.6,79,24,30,10,15
16,002810,삼영무역,23100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,0.84,0.19,114.3,71.0,76,21,30,10,15
17,006360,GS건설,37800,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.52,0.89,2.89,133.3,94.2,73,28,30,10,5
18,005935,삼성전자우,196800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.45,1.33,0.47,120.6,93.7,73,28,30,10,5
19,009420,한올바이오파마,63300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,1.03,1.6,119.1,91.2,72,27,30,10,5
20,161890,한국콜마,148800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.93,0.77,0.54,168.2,95.5,64,29,10,10,15
21,192820,코스맥스,288000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.99,1.39,1.29,150.6,92.2,63,28,10,10,15
22,278470,에이피알,442000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.14,1.26,0.45,123.4,90.4,62,27,10,10,15
23,092230,KPX홀딩스,101500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,1.45,1.98,0.75,122.0,83.3,60,25,10,10,15
24,085620,미래에셋생명,29100,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.08,1.89,0.87,174.5,99.2,55,30,10,10,5
25,181710,NHN,65300,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.02,0.95,0.34,162.6,95.7,54,29,10,10,5
26,000810,삼성화재,680000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.92,0.78,0.73,122.0,82.6,50,25,10,10,5
27,028670,팬오션,5610,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.99,2.41,1.34,106.5,73.0,47,22,10,10,5
28,000815,삼성화재우,425000,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.76,0.8,1.49,108.5,70.5,46,21,10,10,5
