순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,002810,삼영무역,22950,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.64,0.9,114.4,81.9,95,25,30,25,15
2,010950,S-Oil,141100,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.36,0.62,0.76,121.7,91.4,87,27,30,25,5
3,073240,금호타이어,7250,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.38,0.42,0.6,121.2,89.9,87,27,30,25,5
4,317400,자이에스앤디,10020,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,1.54,1.37,206.5,98.2,84,29,30,10,15
5,078930,GS,116200,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,1.02,0.99,155.3,96.5,84,29,30,10,15
6,161890,한국콜마,136700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,0.77,0.89,157.5,95.2,84,29,30,10,15
7,089860,롯데렌탈,45900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,1.67,0.4,138.2,91.2,82,27,30,10,15
8,417310,코람코더원리츠,10880,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.11,1.61,0.32,111.0,89.2,82,27,30,10,15
9,055550,신한지주,104100,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,0.9,0.85,107.5,82.6,80,25,30,10,15
10,086790,하나금융지주,128800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.51,0.89,0.8,108.5,81.4,79,24,30,10,15
11,002990,금호건설,14750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.42,1.65,1.21,227.9,99.7,75,30,30,10,5
12,005935,삼성전자우,207000,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.63,1.32,2.78,128.2,96.7,74,29,30,10,5
13,005090,SGC에너지,62800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.25,1.27,0.76,133.8,95.5,74,29,30,10,5
14,02826K,삼성물산우B,247500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.32,1.1,2.25,119.2,92.9,73,28,30,10,5
15,009420,한올바이오파마,56500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.32,0.83,0.78,106.8,88.9,72,27,30,10,5
16,278470,에이피알,385000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.22,0.85,0.56,108.7,88.7,72,27,30,10,5
17,028670,팬오션,5850,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.42,1.19,0.88,111.9,84.4,70,25,30,10,5
18,007070,GS리테일,25800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.61,0.76,1.97,110.2,82.4,70,25,30,10,5
19,093050,LF,22500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.36,1.28,1.01,100.6,70.0,66,21,30,10,5
20,181710,NHN,75200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.74,1.66,1.14,190.5,98.5,65,30,10,10,15
21,001450,현대해상,49750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.31,1.24,0.82,146.3,93.7,63,28,10,10,15
22,092230,KPX홀딩스,94200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.81,1.55,1.38,114.0,85.6,61,26,10,10,15
23,003690,코리안리,14540,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.76,0.74,1.1,111.9,79.3,59,24,10,10,15
24,000810,삼성화재,661000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.8,0.76,1.64,119.3,85.4,51,26,10,10,5
