순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,417310,코람코더원리츠,10900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.54,1.03,112.1,89.6,97,27,30,25,15
2,010950,S-Oil,141500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.4,0.66,0.65,124.7,92.7,88,28,30,25,5
3,009420,한올바이오파마,55700,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.19,0.65,0.72,106.2,89.9,87,27,30,25,5
4,317400,자이에스앤디,8770,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.22,1.74,1.27,190.0,98.0,84,29,30,10,15
5,078930,GS,101000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.17,1.13,1.83,139.4,94.4,83,28,30,10,15
6,089860,롯데렌탈,44000,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.52,3.57,0.48,135.0,92.2,83,28,30,10,15
7,483650,달바글로벌,262000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.41,0.93,2.81,137.4,91.9,83,28,30,10,15
8,002810,삼영무역,22850,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.28,1.07,0.43,115.7,85.1,81,26,30,10,15
9,007070,GS리테일,27000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.62,1.3,1.4,116.7,84.6,80,25,30,10,15
10,055550,신한지주,103800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.5,0.77,1.23,108.4,78.0,78,23,30,10,15
11,003690,코리안리,14390,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.26,0.91,0.88,111.9,76.3,78,23,30,10,15
12,092230,KPX홀딩스,86800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.28,0.91,0.66,106.2,73.5,77,22,30,10,15
13,006340,대원전선,16030,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.58,1.12,1.51,183.7,99.2,75,30,30,10,5
14,002990,금호건설,14930,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.61,1.4,1.57,245.7,99.0,75,30,30,10,5
15,005090,SGC에너지,57100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.62,1.38,1.59,126.1,95.7,74,29,30,10,5
16,005950,이수화학,14400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.45,0.79,0.92,135.1,94.2,73,28,30,10,5
17,006360,GS건설,35200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.58,1.38,0.7,128.5,92.9,73,28,30,10,5
18,007340,DN오토모티브,47050,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.21,0.92,1.36,129.2,90.2,72,27,30,10,5
19,278470,에이피알,397000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,1.02,1.46,114.3,88.6,72,27,30,10,5
20,028670,팬오션,5800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,1.02,0.82,112.7,81.1,69,24,30,10,5
21,161390,한국타이어앤테크놀로지,70100,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.49,0.75,1.21,109.1,79.3,69,24,30,10,5
22,001800,오리온홀딩스,26850,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.61,0.73,1.23,111.1,77.0,68,23,30,10,5
23,086790,하나금융지주,127900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.42,0.8,1.05,109.1,76.8,68,23,30,10,5
24,181710,NHN,61300,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,4.44,4.53,0.98,161.8,96.5,64,29,10,10,15
25,161890,한국콜마,132500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.12,2.48,7.7,157.8,93.9,63,28,10,10,15
26,001450,현대해상,41650,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.28,1.76,0.59,125.1,85.6,61,26,10,10,15
