순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,002810,삼영무역,22300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.05,0.49,0.5,109.1,71.2,91,21,30,25,15
2,181710,NHN,68000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.19,0.55,0.86,163.9,97.2,89,29,30,25,5
3,007070,GS리테일,25950,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.31,0.67,1.12,109.5,86.4,86,26,30,25,5
4,073240,금호타이어,7130,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.2,0.41,0.34,117.9,85.6,86,26,30,25,5
5,161890,한국콜마,155000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,0.85,0.62,169.4,97.0,84,29,30,10,15
6,078930,GS,120000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,0.75,1.01,153.4,96.2,84,29,30,10,15
7,001450,현대해상,52400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,0.88,0.9,148.4,95.5,84,29,30,10,15
8,192820,코스맥스,285500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.36,1.17,1.12,146.6,94.9,83,28,30,10,15
9,089860,롯데렌탈,50500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,1.5,0.32,147.8,94.2,83,28,30,10,15
10,092230,KPX홀딩스,98900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.54,0.94,0.68,117.4,87.1,81,26,30,10,15
11,282330,BGF리테일,149900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.41,1.08,0.85,116.1,86.9,81,26,30,10,15
12,055550,신한지주,110500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.35,1.44,0.84,112.4,86.1,81,26,30,10,15
13,086790,하나금융지주,134900,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.34,1.3,0.83,111.8,84.3,80,25,30,10,15
14,003490,대한항공,28900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.36,0.96,1.4,112.3,79.0,79,24,30,10,15
15,003690,코리안리,14850,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.38,0.77,1.24,112.7,78.3,78,23,30,10,15
16,000815,삼성화재우,434000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.57,0.75,0.46,110.2,76.8,78,23,30,10,15
17,021240,코웨이,98700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.45,0.93,1.98,113.9,71.5,76,21,30,10,15
18,002990,금호건설,17100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,1.3,3.11,240.8,100.0,75,30,30,10,5
19,317400,자이에스앤디,10150,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.29,0.87,1.77,194.9,98.7,75,30,30,10,5
20,010950,S-Oil,150900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.68,1.14,1.14,126.9,94.7,73,28,30,10,5
21,000810,삼성화재,657000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.52,0.74,0.99,116.6,80.6,69,24,30,10,5
22,105560,KB금융,169100,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.35,1.64,0.72,106.5,79.8,69,24,30,10,5
23,007690,국도화학,39800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.65,1.0,1.07,107.4,73.5,67,22,30,10,5
24,278470,에이피알,419000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.81,0.8,0.67,114.9,89.6,52,27,10,10,5
25,138040,메리츠금융지주,129800,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.97,1.68,1.78,112.8,70.5,46,21,10,10,5
