순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,415640,KB발해인프라,10650,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.29,0.6,0.97,105.8,86.1,96,26,30,25,15
2,417310,코람코더원리츠,10660,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.56,0.73,0.56,110.9,95.0,83,28,30,10,15
3,089860,롯데렌탈,38950,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.4,1.37,0.72,121.2,93.2,83,28,30,10,15
4,002810,삼영무역,22250,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.48,1.21,0.69,114.4,92.2,83,28,30,10,15
5,055550,신한지주,102700,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.3,0.95,0.58,108.8,88.4,82,27,30,10,15
6,092230,KPX홀딩스,83600,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.11,0.72,0.63,103.0,77.6,78,23,30,10,15
7,078930,GS,84600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,1.58,0.39,120.1,93.5,73,28,30,10,5
8,001450,현대해상,37300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.43,1.12,0.68,113.5,91.7,73,28,30,10,5
9,105560,KB금융,169500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.34,0.88,0.61,110.8,90.4,72,27,30,10,5
10,086790,하나금융지주,126900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.32,0.94,0.56,109.8,88.9,72,27,30,10,5
11,003690,코리안리,13560,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.36,0.91,0.61,106.5,87.2,71,26,30,10,5
12,001800,오리온홀딩스,25500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.15,0.77,1.18,106.8,84.6,70,25,30,10,5
13,161890,한국콜마,96800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,0.75,0.59,118.4,80.4,69,24,30,10,5
14,271560,오리온,133500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.49,1.05,0.82,103.8,79.6,69,24,30,10,5
15,007340,DN오토모티브,40900,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.89,1.14,0.45,115.5,92.7,53,28,10,10,5
16,483650,달바글로벌,223500,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.29,1.31,0.4,120.0,87.9,51,26,10,10,5
17,005945,NH투자증권우,24700,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.84,1.41,0.46,101.2,83.9,50,25,10,10,5
