순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,39750,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.08,0.7,0.68,123.1,90.9,97,27,30,25,15
2,086790,하나금융지주,132100,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.33,0.49,0.5,113.6,85.6,96,26,30,25,15
3,055550,신한지주,106500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.42,0.52,0.64,112.2,84.6,95,25,30,25,15
4,092230,KPX홀딩스,86000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.48,0.63,1.35,105.7,73.7,92,22,30,25,15
5,483650,달바글로벌,241500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.6,0.64,0.69,128.6,85.9,86,26,30,25,5
6,161390,한국타이어앤테크놀로지,70000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.26,0.61,0.34,109.4,83.8,85,25,30,25,5
7,105560,KB금융,170800,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.1,0.45,0.47,111.0,82.8,85,25,30,25,5
8,001800,오리온홀딩스,26500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.41,0.51,0.43,110.5,82.3,85,25,30,25,5
9,005945,NH투자증권우,25250,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.37,0.61,0.29,102.9,81.3,84,24,30,25,5
10,161890,한국콜마,104500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.34,0.55,0.89,126.5,78.8,84,24,30,25,5
11,417310,코람코더원리츠,10850,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.5,1.03,0.38,112.3,92.4,83,28,30,10,15
12,002810,삼영무역,22900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.66,1.34,0.32,117.1,90.2,82,27,30,10,15
13,033780,KT&G,179800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.33,0.72,0.53,107.6,74.0,77,22,30,10,15
14,003690,코리안리,14660,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.91,0.64,1.26,114.7,86.9,76,26,10,25,15
15,001450,현대해상,37850,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.41,1.11,0.42,114.7,87.6,71,26,30,10,5
16,007070,GS리테일,26100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.47,0.96,0.81,113.8,86.6,71,26,30,10,5
17,078930,GS,98600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.81,1.17,0.47,138.3,94.9,63,28,10,10,15
18,453340,현대그린푸드,19320,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.8,1.57,0.61,116.5,79.5,59,24,10,10,15
19,007340,DN오토모티브,48050,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.24,0.82,0.58,134.2,95.7,54,29,10,10,5
20,009420,한올바이오파마,55500,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,1.0,0.71,0.91,106.5,91.2,52,27,10,10,5
21,028670,팬오션,5760,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.71,1.84,0.4,113.1,84.8,50,25,10,10,5
