순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,47700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.57,0.91,141.3,89.9,97,27,30,25,15
2,086790,하나금융지주,136000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.61,0.63,0.78,113.4,81.6,94,24,30,25,15
3,003690,코리안리,14640,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.21,0.48,1.43,111.6,72.7,92,22,30,25,15
4,181710,NHN,69700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.31,0.53,0.6,171.3,97.0,89,29,30,25,5
5,317400,자이에스앤디,11250,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.31,0.75,0.84,221.8,99.0,85,30,30,10,15
6,073240,금호타이어,7360,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.16,0.31,2.62,122.2,82.6,85,25,30,25,5
7,078930,GS,129200,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.65,1.01,1.12,167.9,96.5,84,29,30,10,15
8,483650,달바글로벌,229000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.68,1.47,116.5,78.5,84,24,30,25,5
9,192820,코스맥스,303000,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.39,1.58,2.57,157.3,93.9,83,28,30,10,15
10,001450,현대해상,52400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.65,0.93,0.96,150.5,93.2,83,28,30,10,15
11,105560,KB금융,171600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.52,0.58,1.09,108.6,75.5,83,23,30,25,5
12,282330,BGF리테일,147000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.33,0.94,0.39,114.4,78.8,79,24,30,10,15
13,002990,금호건설,17020,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.33,1.31,10.0,248.5,100.0,75,30,30,10,5
14,055550,신한지주,109700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.85,0.67,0.77,112.2,81.3,74,24,10,25,15
15,000810,삼성화재,687000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.94,0.68,1.06,122.6,79.3,74,24,10,25,15
16,006360,GS건설,37150,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.44,1.03,0.51,129.9,94.2,73,28,30,10,5
17,009420,한올바이오파마,64600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.87,1.05,121.1,91.2,72,27,30,10,5
18,010950,S-Oil,149200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.99,1.02,126.7,90.4,72,27,30,10,5
19,007070,GS리테일,26650,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.52,0.78,0.91,112.9,84.1,70,25,30,10,5
20,161890,한국콜마,161700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.72,0.73,2.16,180.4,96.7,64,29,10,10,15
21,278470,에이피알,461500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.77,0.9,1.71,127.9,92.2,63,28,10,10,15
22,092230,KPX홀딩스,104300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.18,1.43,1.86,124.7,87.6,61,26,10,10,15
23,003490,대한항공,28700,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,1.02,1.39,0.86,111.9,73.7,57,22,10,10,15
24,000815,삼성화재우,429000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.92,1.3,0.93,109.3,70.7,56,21,10,10,15
25,088350,한화생명,5950,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.41,1.47,2.37,126.2,89.1,52,27,10,10,5
26,028670,팬오션,5790,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,1.1,1.43,0.59,109.5,75.0,47,22,10,10,5
