순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,181710,NHN,71500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.62,1.13,170.2,98.0,99,29,30,25,15
2,005935,삼성전자우,191600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.26,0.48,1.1,114.8,95.5,89,29,30,25,5
3,006360,GS건설,34250,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.36,0.51,0.42,117.7,90.9,87,27,30,25,5
4,317400,자이에스앤디,11230,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.28,0.91,0.52,211.6,98.7,85,30,30,10,15
5,073240,금호타이어,7180,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.19,0.22,0.68,118.5,84.3,85,25,30,25,5
6,078930,GS,123900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,0.88,0.9,156.8,97.0,84,29,30,10,15
7,001450,현대해상,51100,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,0.95,0.69,143.4,94.2,83,28,30,10,15
8,089860,롯데렌탈,50900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.39,0.86,0.56,147.8,93.9,83,28,30,10,15
9,002810,삼영무역,22050,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.1,0.55,1.24,107.5,70.7,81,21,30,25,5
10,092230,KPX홀딩스,98600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.5,0.76,1.0,116.6,84.6,80,25,30,10,15
11,086790,하나금융지주,134300,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.5,1.06,0.93,110.8,83.1,80,25,30,10,15
12,028670,팬오션,5960,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.53,1.14,0.39,111.7,80.1,79,24,30,10,15
13,282330,BGF리테일,147600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.74,0.94,113.9,74.7,77,22,30,10,15
14,000815,삼성화재우,430500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.55,1.14,0.96,109.1,72.2,77,22,30,10,15
15,021240,코웨이,99400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.33,0.88,0.73,114.3,70.5,76,21,30,10,15
16,002990,금호건설,16090,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.91,0.51,221.6,100.0,75,30,30,10,5
17,161890,한국콜마,145800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.38,0.74,1.09,157.5,96.2,74,29,30,10,5
18,010950,S-Oil,157300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,1.39,2.37,131.5,94.9,73,28,30,10,5
19,192820,코스맥스,275500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,0.96,1.0,140.6,92.4,73,28,30,10,5
20,088350,한화생명,5740,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.36,2.61,0.36,119.5,90.7,72,27,30,10,5
21,105560,KB금융,172000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.51,1.11,0.88,108.0,79.8,69,24,30,10,5
22,108670,LX하우시스,35800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.56,1.29,1.16,110.8,76.3,68,23,30,10,5
23,001530,DI동일,27600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.58,1.25,0.93,115.2,71.2,66,21,30,10,5
24,055550,신한지주,110300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.74,1.16,0.75,111.7,83.6,60,25,10,10,15
25,003490,대한항공,30200,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,1.01,1.36,1.48,117.0,81.3,59,24,10,10,15
26,138040,메리츠금융지주,135500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.52,1.54,0.44,117.3,77.5,58,23,10,10,15
27,003690,코리안리,14500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.78,1.48,1.19,109.6,71.7,57,22,10,10,15
28,180640,한진칼,146000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.79,0.9,1.74,121.7,85.9,51,26,10,10,5
29,278470,에이피알,394000,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.16,0.93,0.59,107.5,81.6,49,24,10,10,5
30,000810,삼성화재,663000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.84,1.28,0.58,117.1,80.6,49,24,10,10,5
