순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,161390,한국타이어앤테크놀로지,72400,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.33,0.61,0.75,114.2,91.6,97,27,30,25,15
2,415640,KB발해인프라,10940,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.53,0.52,0.82,109.2,84.3,95,25,30,25,15
3,001450,현대해상,37100,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.3,0.63,1.28,114.6,88.1,86,26,30,25,5
4,003690,코리안리,13390,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.45,0.28,1.13,106.1,83.5,85,25,30,25,5
5,078930,GS,84200,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.2,1.21,1.26,122.5,93.7,83,28,30,10,15
6,105560,KB금융,175100,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.7,0.75,0.83,116.2,92.2,83,28,30,10,15
7,086790,하나금융지주,131600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.44,0.97,0.61,115.7,90.9,82,27,30,10,15
8,055550,신한지주,104500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.49,0.74,0.99,112.3,87.8,81,26,30,10,15
9,475150,SK이터닉스,62000,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,0.58,1.99,1.86,160.5,98.0,74,29,30,10,5
10,010950,S-Oil,141700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.44,1.04,1.02,130.8,94.7,73,28,30,10,5
11,161890,한국콜마,98300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.38,0.81,1.97,122.9,87.1,71,26,30,10,5
12,002810,삼영무역,21000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.62,0.9,0.6,109.9,84.6,70,25,30,10,5
13,000810,삼성화재,630000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.94,0.7,0.83,117.6,87.3,66,26,10,25,5
14,417310,코람코더원리츠,10180,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.88,1.2,0.42,107.4,89.9,62,27,10,10,15
15,483650,달바글로벌,222000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.89,0.98,0.67,122.4,81.0,49,24,10,10,5
