순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,49600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.11,0.37,0.44,138.0,92.4,98,28,30,25,15
2,094800,맵스리얼티,7700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.52,1.12,118.2,87.7,96,26,30,25,15
3,086790,하나금융지주,133700,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.42,0.7,1.29,108.3,82.9,95,25,30,25,15
4,096760,JW홀딩스,4340,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.14,0.5,0.75,108.0,78.1,93,23,30,25,15
5,092230,KPX홀딩스,95300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.24,0.47,0.51,110.3,77.8,93,23,30,25,15
6,003690,코리안리,14630,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.42,0.63,0.95,108.5,76.6,93,23,30,25,15
7,317400,자이에스앤디,9870,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.1,0.52,1.05,169.3,98.0,89,29,30,25,5
8,078930,GS,110600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.69,0.63,132.9,94.5,88,28,30,25,5
9,161890,한국콜마,146700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.04,0.59,1.03,148.1,93.2,88,28,30,25,5
10,001450,현대해상,47350,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.14,0.57,0.74,126.7,88.9,87,27,30,25,5
11,006360,GS건설,34750,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.25,0.65,1.67,113.6,88.7,87,27,30,25,5
12,088350,한화생명,5680,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.29,0.62,0.49,113.7,88.4,87,27,30,25,5
13,192820,코스맥스,270500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.05,0.43,1.05,133.6,87.4,86,26,30,25,5
14,180640,한진칼,140500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.09,0.54,1.24,115.1,85.4,86,26,30,25,5
15,105560,KB금융,174100,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.51,0.64,0.99,107.4,82.6,85,25,30,25,5
16,000810,삼성화재,648000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.25,0.61,0.64,111.9,81.1,84,24,30,25,5
17,316140,우리금융지주,35500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.48,0.54,0.95,107.9,80.4,84,24,30,25,5
18,005830,DB손해보험,184000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.27,0.59,1.16,109.6,80.1,84,24,30,25,5
19,096770,SK이노베이션,148700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.4,0.73,1.42,123.6,91.7,83,28,30,10,15
20,443060,HD현대마린솔루션,240000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.33,0.69,0.77,115.2,77.6,83,23,30,25,5
21,029460,케이씨,43500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,1.51,1.05,129.1,89.2,82,27,30,10,15
22,090430,아모레퍼시픽,142200,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.22,0.56,0.78,109.4,73.6,82,22,30,25,5
23,055550,신한지주,110100,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.39,0.8,1.23,109.3,84.4,80,25,30,10,15
24,294870,IPARK현대산업개발,23500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.06,0.76,0.67,109.1,76.3,78,23,30,10,15
25,005930,삼성전자,286500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.7,0.86,1.07,113.6,96.5,74,29,30,10,5
26,010950,S-Oil,156500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.21,0.96,0.86,126.0,96.0,74,29,30,10,5
27,175330,JB금융지주,30250,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.42,0.87,0.68,106.5,77.3,68,23,30,10,5
28,451800,한화리츠,5400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.19,1.45,0.96,104.5,75.8,68,23,30,10,5
29,000500,가온전선,318000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.73,1.12,0.36,201.8,100.0,65,30,10,10,15
30,005935,삼성전자우,222000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.87,1.27,1.07,127.4,97.2,64,29,10,10,15
31,010955,S-Oil우,83600,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.86,1.75,3.48,138.4,95.5,64,29,10,10,15
32,003490,대한항공,31500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.75,1.53,0.57,119.6,85.6,61,26,10,10,15
33,453340,현대그린푸드,19300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.76,1.35,1.95,111.4,79.6,59,24,10,10,15
34,021240,코웨이,99700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.32,0.9,1.08,112.6,74.1,57,22,10,10,15
