순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,086790,하나금융지주,134700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.46,0.64,0.98,115.5,86.1,96,26,30,25,15
2,105560,KB금융,175800,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.27,0.54,1.1,114.0,83.6,95,25,30,25,15
3,005950,이수화학,14300,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,0.6,1.42,135.7,95.2,89,29,30,25,5
4,483650,달바글로벌,246000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.62,0.64,0.71,130.5,90.4,87,27,30,25,5
5,001450,현대해상,39300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.62,0.65,0.72,118.9,88.1,86,26,30,25,5
6,000810,삼성화재,645000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.52,0.64,0.81,118.2,87.1,86,26,30,25,5
7,161890,한국콜마,106700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.38,0.5,0.79,128.7,85.9,86,26,30,25,5
8,317400,자이에스앤디,8320,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.53,2.85,1.04,183.7,98.7,85,30,30,10,15
9,417310,코람코더원리츠,10970,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.6,1.32,1.26,113.4,92.7,83,28,30,10,15
10,089860,롯데렌탈,40400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.16,1.08,0.97,124.9,91.7,83,28,30,10,15
11,002810,삼영무역,23050,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.63,1.74,1.78,117.5,90.2,82,27,30,10,15
12,055550,신한지주,110000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.67,0.78,1.38,115.6,85.6,81,26,30,10,15
13,092230,KPX홀딩스,87500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.53,0.78,0.65,107.5,77.5,78,23,30,10,15
14,271560,오리온,137600,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.59,0.97,0.67,106.3,72.0,77,22,30,10,15
15,005090,SGC에너지,54000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.55,1.36,1.98,121.0,95.7,74,29,30,10,5
16,010950,S-Oil,137600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,0.96,2.15,122.6,93.4,73,28,30,10,5
17,161390,한국타이어앤테크놀로지,70500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.38,0.77,0.9,110.0,82.3,70,25,30,10,5
18,078930,GS,98900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.74,1.07,0.7,138.2,94.7,63,28,10,10,15
19,007070,GS리테일,28350,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.17,1.85,1.9,123.3,90.7,62,27,10,10,15
20,028670,팬오션,6040,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.98,1.45,1.61,118.3,86.9,61,26,10,10,15
21,001800,오리온홀딩스,27750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.0,0.71,1.06,115.5,84.8,60,25,10,10,15
22,003690,코리안리,14530,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.01,0.9,0.38,113.5,84.3,60,25,10,10,15
23,033780,KT&G,188800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.96,1.05,1.17,112.8,81.6,59,24,10,10,15
24,453340,현대그린푸드,19550,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.88,1.4,0.72,117.7,79.8,59,24,10,10,15
25,007340,DN오토모티브,47600,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.13,0.98,0.98,132.4,94.2,53,28,10,10,5
26,278470,에이피알,384500,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.11,1.91,0.46,111.7,89.4,52,27,10,10,5
