순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,49300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.09,0.33,0.99,140.1,94.7,98,28,30,25,15
2,001450,현대해상,50800,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.68,0.92,139.0,93.2,98,28,30,25,15
3,092230,KPX홀딩스,98000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.21,0.45,0.71,114.6,80.3,94,24,30,25,15
4,282330,BGF리테일,143600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.18,0.54,1.48,109.9,79.8,94,24,30,25,15
5,317400,자이에스앤디,10810,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.3,0.81,0.67,194.2,98.5,85,30,30,10,15
6,073240,금호타이어,7050,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.35,0.51,0.86,115.3,84.6,85,25,30,25,5
7,192820,코스맥스,276000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,0.98,0.79,138.7,92.2,83,28,30,10,15
8,055550,신한지주,115000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.67,0.99,0.9,115.2,88.9,82,27,30,10,15
9,001530,DI동일,26900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.56,0.65,0.98,110.9,72.7,82,22,30,25,5
10,086790,하나금융지주,140400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.63,1.01,1.04,114.6,87.9,81,26,30,10,15
11,094800,맵스리얼티,7420,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.22,1.38,1.11,115.5,85.4,81,26,30,10,15
12,028670,팬오션,6050,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.1,0.74,0.66,112.3,84.1,80,25,30,10,15
13,003490,대한항공,29650,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.39,1.06,0.96,113.8,83.8,80,25,30,10,15
14,021240,코웨이,99700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.7,1.57,0.82,113.7,76.5,78,23,30,10,15
15,003690,코리안리,15080,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.49,0.8,0.58,112.8,76.3,78,23,30,10,15
16,078930,GS,114400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.93,0.82,140.8,96.5,74,29,30,10,5
17,161890,한국콜마,145800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.11,1.04,1.22,152.6,96.2,74,29,30,10,5
18,006360,GS건설,36200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.28,0.73,0.33,121.5,90.9,72,27,30,10,5
19,008930,한미사이언스,48750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.66,0.84,0.88,127.5,90.7,72,27,30,10,5
20,088350,한화생명,6060,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.88,0.6,123.7,89.9,72,27,30,10,5
21,005830,DB손해보험,191600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,1.18,0.48,114.9,81.8,70,25,30,10,5
22,090430,아모레퍼시픽,144400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.26,0.73,1.9,110.9,80.8,69,24,30,10,5
23,180640,한진칼,137100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.59,0.97,0.94,113.3,79.3,69,24,30,10,5
24,020120,키다리스튜디오,9000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.91,1.03,1.82,232.4,99.5,65,30,10,10,15
25,105560,KB금융,181200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.92,1.04,1.05,112.7,86.9,61,26,10,10,15
26,010950,S-Oil,145500,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.86,1.47,0.57,119.4,94.2,53,28,10,10,5
27,000810,삼성화재,673000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.83,1.16,0.46,117.5,86.4,51,26,10,10,5
28,096770,SK이노베이션,133900,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.14,1.52,0.82,112.6,82.6,50,25,10,10,5
29,138040,메리츠금융지주,132000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.71,0.93,1.3,113.6,80.1,49,24,10,10,5
