순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,181710,NHN,70800,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.16,0.64,0.74,167.5,98.0,99,29,30,25,15
2,089860,롯데렌탈,50300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.11,0.68,0.66,145.5,93.4,98,28,30,25,15
3,092230,KPX홀딩스,98000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.32,0.62,0.45,115.6,84.3,95,25,30,25,15
4,282330,BGF리테일,150200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.12,0.64,0.62,115.7,77.8,93,23,30,25,15
5,002810,삼영무역,22200,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.09,0.57,0.55,108.1,70.2,91,21,30,25,15
6,002990,금호건설,16110,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.16,0.4,0.93,219.5,99.7,90,30,30,25,5
7,317400,자이에스앤디,10620,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.24,0.66,1.12,198.5,98.5,90,30,30,25,5
8,005935,삼성전자우,199600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.49,0.62,1.24,119.2,95.5,89,29,30,25,5
9,006360,GS건설,35200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.26,0.47,1.4,120.5,89.4,87,27,30,25,5
10,073240,금호타이어,7350,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.19,0.22,1.35,121.1,87.1,86,26,30,25,5
11,078930,GS,125600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,0.84,0.58,158.1,97.0,84,29,30,10,15
12,001450,현대해상,51000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.26,0.82,0.54,142.5,93.9,83,28,30,10,15
13,009420,한올바이오파마,55500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.1,0.6,0.89,103.5,76.8,83,23,30,25,5
14,244920,에이플러스에셋,13990,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.5,1.17,0.29,120.3,89.6,82,27,30,10,15
15,055550,신한지주,113900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.7,0.95,0.68,115.1,86.6,81,26,30,10,15
16,086790,하나금융지주,138900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.59,0.93,0.62,114.4,85.9,81,26,30,10,15
17,105560,KB금융,175900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.54,0.95,0.48,110.3,80.8,79,24,30,10,15
18,028670,팬오션,6060,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.6,1.33,1.23,113.4,80.6,79,24,30,10,15
19,003690,코리안리,14610,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.68,1.54,0.37,110.2,71.7,77,22,30,10,15
20,161890,한국콜마,144300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.33,0.79,0.83,155.0,95.7,74,29,30,10,5
21,010950,S-Oil,157600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.47,1.19,0.22,131.3,94.4,73,28,30,10,5
22,192820,코스맥스,274000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,0.82,0.68,139.4,93.2,73,28,30,10,5
23,088350,한화생명,5890,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.33,2.51,0.43,122.2,91.4,72,27,30,10,5
24,005830,DB손해보험,192400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.55,0.98,0.71,116.5,84.8,70,25,30,10,5
25,094800,맵스리얼티,7200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.1,1.22,3.09,112.9,82.3,70,25,30,10,5
26,108670,LX하우시스,35350,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.58,1.31,0.51,109.3,72.5,67,22,30,10,5
27,003490,대한항공,30350,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.0,1.36,0.66,117.4,80.1,59,24,10,10,15
28,180640,한진칼,148900,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.01,1.01,1.3,123.9,87.6,51,26,10,10,5
29,000810,삼성화재,656000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.9,1.4,0.69,115.6,80.3,49,24,10,10,5
30,138040,메리츠금융지주,133700,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.15,1.05,0.79,115.6,77.0,48,23,10,10,5
31,001530,DI동일,28300,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.75,1.32,3.02,117.8,73.0,47,22,10,10,5
