순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,49250,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.12,0.54,0.88,137.8,92.2,98,28,30,25,15
2,003490,대한항공,29050,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.12,0.68,0.46,110.7,76.1,93,23,30,25,15
3,317400,자이에스앤디,9750,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.25,0.57,1.07,169.3,97.7,89,29,30,25,5
4,078930,GS,113600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.09,0.55,0.61,137.4,96.2,89,29,30,25,5
5,161890,한국콜마,145900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.1,0.55,0.58,148.7,93.2,88,28,30,25,5
6,096770,SK이노베이션,140200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.23,0.56,0.89,117.0,87.9,86,26,30,25,5
7,192820,코스맥스,274500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.07,0.54,0.62,136.2,87.7,86,26,30,25,5
8,005090,SGC에너지,54100,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.1,0.41,1.46,104.4,86.9,86,26,30,25,5
9,180640,한진칼,139100,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.12,0.57,0.48,114.2,82.9,85,25,30,25,5
10,029460,케이씨,44550,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.53,1.25,3.5,132.8,92.7,83,28,30,10,15
11,028670,팬오션,5810,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.19,0.52,0.36,107.3,78.3,83,23,30,25,5
12,090430,아모레퍼시픽,144700,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.12,0.58,0.98,111.1,77.3,83,23,30,25,5
13,092230,KPX홀딩스,93400,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.26,0.6,0.29,108.4,72.5,82,22,30,25,5
14,094800,맵스리얼티,7850,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,3.25,0.07,120.9,86.6,81,26,30,10,15
15,055550,신한지주,113200,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,1.05,0.62,112.6,86.4,81,26,30,10,15
16,280360,롯데웰푸드,127500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.21,0.57,0.79,109.5,71.3,81,21,30,25,5
17,086790,하나금융지주,135700,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.39,0.99,0.37,110.1,84.1,80,25,30,10,15
18,105560,KB금융,177900,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.37,0.83,0.6,109.9,83.9,80,25,30,10,15
19,003690,코리안리,14910,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.19,0.81,0.42,110.8,76.6,78,23,30,10,15
20,294870,IPARK현대산업개발,23550,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.36,0.92,0.83,109.3,75.6,78,23,30,10,15
21,005935,삼성전자우,210500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.61,0.98,1.17,121.8,96.7,74,29,30,10,5
