순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,105560,KB금융,176300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.56,0.59,1.23,116.8,89.4,97,27,30,25,15
2,055550,신한지주,103800,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.43,0.68,0.96,111.3,84.6,95,25,30,25,15
3,002810,삼영무역,21900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.44,0.69,0.86,114.4,84.3,95,25,30,25,15
4,033780,KT&G,179600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.2,0.68,0.81,109.0,80.3,94,24,30,25,15
5,415640,KB발해인프라,10790,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.45,0.49,1.2,107.6,78.2,93,23,30,25,15
6,001450,현대해상,38600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.41,0.59,0.91,119.0,88.6,87,27,30,25,5
7,003690,코리안리,13750,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.35,0.3,1.41,108.8,81.5,84,24,30,25,5
8,139130,iM금융지주,17940,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.43,0.52,0.82,104.7,79.7,84,24,30,25,5
9,028670,팬오션,5300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.45,0.52,1.14,105.9,79.2,84,24,30,25,5
10,161390,한국타이어앤테크놀로지,76700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.61,0.77,2.01,120.8,92.2,83,28,30,10,15
11,001800,오리온홀딩스,25500,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.34,0.46,0.84,107.7,75.9,83,23,30,25,5
12,086790,하나금융지주,130500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.43,0.82,1.4,114.5,85.8,81,26,30,10,15
13,010950,S-Oil,149800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.48,0.91,1.12,137.7,94.9,73,28,30,10,5
14,004430,송원산업,13000,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.64,1.22,1.37,128.3,90.1,72,27,30,10,5
15,007070,GS리테일,25450,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.57,0.94,0.45,111.9,87.1,71,26,30,10,5
16,161890,한국콜마,102400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,0.8,0.65,127.7,86.1,71,26,30,10,5
17,092230,KPX홀딩스,83400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.71,0.69,0.89,103.2,71.6,71,21,10,25,15
18,000810,삼성화재,638000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.94,0.49,0.95,118.9,85.6,66,26,10,25,5
19,475150,SK이터닉스,80600,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,1.71,2.53,1.36,206.5,98.2,64,29,10,10,15
20,078930,GS,93600,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.04,1.49,2.93,135.7,93.2,63,28,10,10,15
21,241560,두산밥캣,69300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.57,0.61,1.6,108.6,76.7,63,23,10,25,5
22,417310,코람코더원리츠,10600,매수,Stage 2A (돌파 초입 우량),2차 타점 (피벗 거래량 돌파),1,1.74,2.42,5.56,111.6,89.9,62,27,10,10,15
23,005090,SGC에너지,54700,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.24,2.23,3.88,127.1,94.7,53,28,10,10,5
24,005950,이수화학,14850,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.72,0.8,3.28,144.6,94.2,53,28,10,10,5
25,006360,GS건설,34400,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,1.61,2.06,2.24,129.7,92.9,53,28,10,10,5
26,483650,달바글로벌,240000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.83,1.04,0.97,131.9,81.8,50,25,10,10,5
