순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,086790,하나금융지주,130800,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.45,0.65,1.28,109.8,80.6,94,24,30,25,15
2,003690,코리안리,14440,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.47,0.55,0.59,110.7,75.8,93,23,30,25,15
3,006360,GS건설,35000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.29,0.61,1.56,124.0,91.9,88,28,30,25,5
4,010950,S-Oil,139900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.37,0.46,1.36,119.9,90.2,87,27,30,25,5
5,317400,자이에스앤디,10150,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.25,1.1,0.83,205.8,98.5,85,30,30,10,15
6,073240,금호타이어,7000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.26,0.29,1.01,116.7,84.3,85,25,30,25,5
7,007070,GS리테일,26600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.41,0.68,0.86,113.2,82.6,85,25,30,25,5
8,078930,GS,121800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.39,0.99,1.57,161.1,96.2,84,29,30,10,15
9,005090,SGC에너지,63800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.23,1.09,0.9,134.3,94.9,83,28,30,10,15
10,001450,현대해상,50800,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.5,0.72,0.6,148.0,92.7,83,28,30,10,15
11,483650,달바글로벌,233000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.42,0.64,0.74,119.5,77.0,83,23,30,25,5
12,089860,롯데렌탈,47450,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,1.14,1.64,142.0,90.9,82,27,30,10,15
13,417310,코람코더원리츠,10960,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.15,1.45,0.76,111.5,83.6,80,25,30,10,15
14,055550,신한지주,106500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.51,0.78,1.23,109.6,81.1,79,24,30,10,15
15,002810,삼영무역,23250,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.12,1.0,0.45,115.3,77.5,78,23,30,10,15
16,002990,금호건설,15380,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.48,1.21,0.89,232.4,99.7,75,30,30,10,5
17,009420,한올바이오파마,60700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.32,0.86,0.73,114.4,89.9,72,27,30,10,5
18,161890,한국콜마,150000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.25,0.83,1.48,170.7,95.7,64,29,10,10,15
19,000810,삼성화재,648000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.79,0.69,0.45,116.5,81.6,64,24,10,25,5
20,192820,코스맥스,289000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.46,1.49,0.62,151.7,93.2,63,28,10,10,15
21,278470,에이피알,440500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.0,1.17,1.27,123.5,91.4,62,27,10,10,15
22,092230,KPX홀딩스,102500,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,1.25,1.73,3.19,123.5,87.9,61,26,10,10,15
23,028670,팬오션,6380,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.81,1.93,0.7,121.3,84.1,60,25,10,10,15
24,085620,미래에셋생명,29150,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.15,1.89,1.35,176.2,99.2,55,30,10,10,5
25,181710,NHN,66000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.35,1.38,1.46,165.2,96.5,54,29,10,10,5
26,005935,삼성전자우,194500,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.74,1.79,0.89,119.6,94.4,53,28,10,10,5
27,093050,LF,23450,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.99,1.31,0.71,104.5,71.5,46,21,10,10,5
