순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,317400,자이에스앤디,11570,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.32,0.67,1.0,225.9,99.0,100,30,30,25,15
2,181710,NHN,74300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.37,0.62,1.37,181.3,97.0,99,29,30,25,15
3,089860,롯데렌탈,47350,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.04,0.57,1.18,139.7,90.4,97,27,30,25,15
4,006360,GS건설,36300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.27,0.65,1.24,126.4,92.9,88,28,30,25,5
5,073240,금호타이어,7360,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.2,0.37,0.75,122.0,86.1,86,26,30,25,5
6,161890,한국콜마,160100,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.64,0.9,0.87,177.3,96.7,84,29,30,10,15
7,078930,GS,127100,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.31,0.91,0.93,164.2,95.7,84,29,30,10,15
8,192820,코스맥스,300000,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.38,1.67,0.61,155.1,93.2,83,28,30,10,15
9,001450,현대해상,50900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.55,1.01,0.83,145.5,91.9,83,28,30,10,15
10,278470,에이피알,464500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.56,0.95,0.73,128.2,91.7,83,28,30,10,15
11,092230,KPX홀딩스,103500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.52,1.03,0.69,123.4,86.4,81,26,30,10,15
12,086790,하나금융지주,136300,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.51,0.95,2.57,113.4,80.8,79,24,30,10,15
13,282330,BGF리테일,147800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.34,1.21,2.74,114.8,79.0,79,24,30,10,15
14,055550,신한지주,108900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.44,0.91,2.32,111.2,78.5,79,24,30,10,15
15,002990,금호건설,16460,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,1.62,0.52,237.4,99.7,75,30,30,10,5
16,010950,S-Oil,150100,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.6,1.07,1.48,127.1,91.2,72,27,30,10,5
17,009420,한올바이오파마,59700,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.38,0.79,1.59,111.8,87.6,71,26,30,10,5
18,007070,GS리테일,26350,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.48,0.95,1.08,111.5,81.8,70,25,30,10,5
19,000810,삼성화재,665000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.65,0.94,0.78,118.5,77.3,68,23,30,10,5
20,105560,KB금융,173300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.53,1.21,3.44,109.5,76.0,68,23,30,10,5
21,003490,대한항공,28100,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.8,1.0,0.91,109.5,70.2,56,21,10,10,15
22,088350,한화생명,5770,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.81,1.58,0.54,121.9,89.6,52,27,10,10,5
23,028670,팬오션,5670,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.93,0.79,0.91,107.0,77.5,48,23,10,10,5
