순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,161390,한국타이어앤테크놀로지,70900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.47,0.69,0.82,112.0,89.1,97,27,30,25,15
2,161890,한국콜마,101700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.35,0.69,0.78,127.5,92.2,88,28,30,25,5
3,001450,현대해상,37150,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.3,0.69,0.69,114.9,88.9,87,27,30,25,5
4,003690,코리안리,13380,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.38,0.3,0.72,106.2,83.0,85,25,30,25,5
5,078930,GS,82500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,1.25,0.44,120.4,93.7,83,28,30,10,15
6,086790,하나금융지주,132600,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,1.14,0.78,116.8,91.6,82,27,30,10,15
7,055550,신한지주,104700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.53,0.82,0.79,112.7,88.6,82,27,30,10,15
8,281820,케이씨텍,100300,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.29,0.73,1.4,172.3,98.0,74,29,30,10,5
9,475150,SK이터닉스,55900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.45,1.43,0.95,145.8,97.7,74,29,30,10,5
10,007070,GS리테일,25750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.23,0.99,0.91,113.4,90.1,72,27,30,10,5
11,139130,iM금융지주,18140,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.22,0.71,0.47,106.1,85.1,71,26,30,10,5
12,417310,코람코더원리츠,10260,매수,Stage 2A (돌파 초입 우량),2차 타점 (피벗 거래량 돌파),1,0.77,1.31,3.61,108.4,91.4,62,27,10,10,15
13,002810,삼영무역,21300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.75,1.25,0.8,111.7,87.3,61,26,10,10,15
14,415640,KB발해인프라,11150,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.98,0.73,0.86,111.3,87.1,61,26,10,10,15
15,010950,S-Oil,141600,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.21,1.14,0.64,131.2,94.7,53,28,10,10,5
16,105560,KB금융,174000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.78,0.83,0.56,115.8,91.9,53,28,10,10,5
17,483650,달바글로벌,236000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.02,0.91,1.93,130.6,90.6,52,27,10,10,5
