순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,055550,신한지주,102900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.23,0.6,0.6,110.1,87.6,96,26,30,25,15
2,003690,코리안리,14030,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.61,0.32,0.72,110.9,85.8,96,26,30,25,15
3,033780,KT&G,182200,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.31,0.64,0.62,110.4,85.3,96,26,30,25,15
4,092230,KPX홀딩스,84300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.41,0.55,0.67,104.3,74.4,92,22,30,25,15
5,000810,삼성화재,633000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.38,0.39,0.49,117.8,88.1,86,26,30,25,5
6,105560,KB금융,167900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.47,0.53,0.68,111.0,86.8,86,26,30,25,5
7,028670,팬오션,5340,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.65,0.54,0.94,106.5,84.1,85,25,30,25,5
8,139130,iM금융지주,18040,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.32,0.49,0.52,105.1,82.3,85,25,30,25,5
9,001800,오리온홀딩스,25650,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.21,0.39,0.78,108.2,80.5,84,24,30,25,5
10,086790,하나금융지주,133100,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.21,0.73,0.84,116.5,89.6,82,27,30,10,15
11,161390,한국타이어앤테크놀로지,71900,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.61,0.72,0.43,113.1,88.9,82,27,30,10,15
12,010950,S-Oil,153900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.62,0.89,0.83,140.8,96.5,74,29,30,10,5
13,004430,송원산업,12880,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.6,1.45,0.66,126.8,91.1,72,27,30,10,5
14,007070,GS리테일,25800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.51,0.78,0.58,113.4,90.4,72,27,30,10,5
15,161890,한국콜마,100600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.14,0.71,0.37,125.1,86.6,71,26,30,10,5
16,483650,달바글로벌,236500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.63,0.75,0.54,129.5,82.0,70,25,30,10,5
17,475150,SK이터닉스,83300,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,2.03,2.91,0.9,211.2,99.5,65,30,10,10,15
18,078930,GS,97600,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.52,1.75,0.59,141.0,94.7,63,28,10,10,15
19,001450,현대해상,40700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.81,0.72,1.46,125.1,92.7,63,28,10,10,15
20,417310,코람코더원리츠,10730,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,2.0,2.62,0.61,112.8,91.4,62,27,10,10,15
21,002810,삼영무역,22800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.79,0.86,2.9,118.8,90.1,62,27,10,10,15
22,005950,이수화학,14170,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.81,0.89,0.39,137.6,94.4,53,28,10,10,5
