순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,009420,한올바이오파마,56900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.3,0.67,0.83,108.7,90.7,87,27,30,25,5
2,483650,달바글로벌,246000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.34,0.56,1.34,129.5,88.4,87,27,30,25,5
3,161890,한국콜마,107900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.2,0.66,1.66,129.2,85.6,86,26,30,25,5
4,317400,자이에스앤디,8430,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.35,2.26,0.6,183.8,98.7,85,30,30,10,15
5,078930,GS,97500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.18,0.83,1.54,135.1,93.9,83,28,30,10,15
6,089860,롯데렌탈,45000,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.57,3.16,2.67,138.4,92.7,83,28,30,10,15
7,417310,코람코더원리츠,10940,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.31,0.76,1.07,112.7,89.9,82,27,30,10,15
8,002810,삼영무역,23700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,1.39,1.78,120.2,88.1,81,26,30,10,15
9,055550,신한지주,104500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.51,0.85,0.75,109.4,76.8,78,23,30,10,15
10,092230,KPX홀딩스,88600,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.36,0.89,1.53,108.6,75.8,78,23,30,10,15
11,005090,SGC에너지,56200,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.54,1.58,0.69,124.7,96.5,74,29,30,10,5
12,001800,오리온홀딩스,27950,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.92,0.69,1.02,115.9,78.8,74,24,10,25,15
13,010950,S-Oil,141600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.5,0.9,1.83,125.3,93.4,73,28,30,10,5
14,006360,GS건설,34750,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.66,1.31,0.8,127.4,93.2,73,28,30,10,5
15,007340,DN오토모티브,47900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.29,0.82,1.89,132.1,92.9,73,28,30,10,5
16,278470,에이피알,385500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.68,0.89,1.18,111.3,86.9,71,26,30,10,5
17,028670,팬오션,5780,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.47,1.24,1.19,112.6,81.8,70,25,30,10,5
18,086790,하나금융지주,127700,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.39,0.75,0.67,109.1,73.2,67,22,30,10,5
19,001450,현대해상,44050,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.52,1.47,1.4,132.6,91.9,63,28,10,10,15
20,007070,GS리테일,27550,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.09,1.87,0.42,119.3,85.1,61,26,10,10,15
21,003690,코리안리,14710,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.75,0.84,0.72,114.5,80.8,59,24,10,10,15
22,033780,KT&G,179900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.9,1.02,1.04,107.1,71.2,56,21,10,10,15
23,181710,NHN,54200,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,2.75,2.9,21.95,143.9,95.5,54,29,10,10,5
24,005950,이수화학,14560,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.72,0.87,0.64,137.1,94.7,53,28,10,10,5
