순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,317400,자이에스앤디,10830,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.17,0.66,1.2,209.6,98.7,100,30,30,25,15
2,181710,NHN,70400,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.29,0.55,0.85,170.7,97.0,99,29,30,25,15
3,002810,삼영무역,22350,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.2,0.56,1.41,109.6,72.0,92,22,30,25,15
4,005935,삼성전자우,190300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.35,0.66,0.44,115.1,93.9,88,28,30,25,5
5,02826K,삼성물산우B,248500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.25,0.6,2.35,117.6,91.2,87,27,30,25,5
6,073240,금호타이어,7450,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.21,0.5,1.55,123.3,87.4,86,26,30,25,5
7,161890,한국콜마,155000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.59,1.04,0.9,170.6,96.5,84,29,30,10,15
8,078930,GS,124700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.21,0.85,0.74,160.3,96.2,84,29,30,10,15
9,001450,현대해상,53400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.55,0.96,1.06,151.9,94.4,83,28,30,10,15
10,192820,코스맥스,287000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.37,1.66,0.61,147.8,92.9,83,28,30,10,15
11,089860,롯데렌탈,51400,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.44,1.36,5.29,151.1,92.7,83,28,30,10,15
12,278470,에이피알,432500,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.62,1.01,0.97,118.9,89.9,82,27,30,10,15
13,092230,KPX홀딩스,102000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.38,1.14,1.15,121.4,86.4,81,26,30,10,15
14,086790,하나금융지주,137400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.42,1.04,0.6,114.1,83.3,80,25,30,10,15
15,055550,신한지주,111100,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.47,1.04,0.64,113.2,83.1,80,25,30,10,15
16,282330,BGF리테일,150900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.39,0.93,0.35,117.0,80.6,79,24,30,10,15
17,003490,대한항공,28750,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.3,0.91,0.89,111.9,73.7,77,22,30,10,15
18,003690,코리안리,14680,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.29,0.74,0.48,111.6,73.0,77,22,30,10,15
19,000815,삼성화재우,437000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.51,1.02,1.54,111.1,72.5,77,22,30,10,15
20,002990,금호건설,16500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.29,1.74,0.35,235.2,100.0,75,30,30,10,5
21,010950,S-Oil,151700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.69,1.09,0.68,128.0,91.9,73,28,30,10,5
22,007070,GS리테일,26350,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.47,0.78,0.5,111.3,81.6,69,24,30,10,5
23,000810,삼성화재,677000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.34,0.93,0.55,120.3,79.5,69,24,30,10,5
24,105560,KB금융,171200,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.47,1.36,0.43,108.0,77.0,68,23,30,10,5
