순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,089860,롯데렌탈,49000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.13,0.55,1.11,137.5,91.7,98,28,30,25,15
2,029460,케이씨,40950,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.22,0.6,2.04,122.3,89.9,97,27,30,25,15
3,092230,KPX홀딩스,97300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.11,0.66,1.08,113.1,78.3,93,23,30,25,15
4,003490,대한항공,29150,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.14,0.68,1.52,111.2,75.1,93,23,30,25,15
5,020120,키다리스튜디오,8420,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.35,1.51,209.2,98.5,90,30,30,25,5
6,317400,자이에스앤디,10040,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.22,0.57,0.7,175.4,98.0,89,29,30,25,5
7,078930,GS,114000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.09,0.68,0.8,138.3,96.2,89,29,30,25,5
8,161890,한국콜마,145500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.1,0.64,1.22,149.1,93.7,88,28,30,25,5
9,006360,GS건설,37200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),3,0.16,0.6,4.52,122.9,91.9,88,28,30,25,5
10,192820,코스맥스,274000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.06,0.6,0.86,136.2,86.9,86,26,30,25,5
11,005090,SGC에너지,54600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.21,0.55,0.57,105.7,86.6,86,26,30,25,5
12,000370,한화손해보험,8100,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.69,0.64,119.4,85.9,86,26,30,25,5
13,073240,금호타이어,7040,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.04,0.17,2.13,114.7,84.1,85,25,30,25,5
14,096770,SK이노베이션,137000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.34,0.53,1.16,114.5,83.9,85,25,30,25,5
15,180640,한진칼,139200,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.57,1.54,114.4,79.3,84,24,30,25,5
16,090430,아모레퍼시픽,142700,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.1,0.51,1.24,109.5,74.8,82,22,30,25,5
17,028670,팬오션,5770,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.36,0.59,1.51,106.6,74.6,82,22,30,25,5
18,094800,맵스리얼티,7770,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.43,3.91,2.67,119.9,86.1,81,26,30,10,15
19,055550,신한지주,111100,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.43,0.96,1.87,110.6,85.4,81,26,30,10,15
20,105560,KB금융,175700,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.58,0.91,1.2,108.6,82.6,80,25,30,10,15
21,086790,하나금융지주,133700,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.54,0.99,1.51,108.5,81.9,80,25,30,10,15
22,003690,코리안리,14970,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.12,0.92,1.19,111.3,77.8,78,23,30,10,15
23,294870,IPARK현대산업개발,23550,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.37,0.96,0.71,109.3,75.6,78,23,30,10,15
24,010950,S-Oil,149700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.36,0.74,0.96,121.6,95.2,74,29,30,10,5
25,005935,삼성전자우,196900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,0.91,1.02,114.3,95.0,73,28,30,10,5
26,028050,삼성E&A,52100,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,0.32,1.48,4.2,115.0,91.4,72,27,30,10,5
27,088350,한화생명,5890,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.15,0.73,0.55,118.7,88.4,72,27,30,10,5
28,001450,현대해상,48400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.16,1.1,1.77,130.6,88.2,71,26,30,10,5
29,000810,삼성화재,655000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.25,0.77,3.04,113.6,83.1,70,25,30,10,5
30,316140,우리금융지주,36150,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.26,0.92,1.65,109.9,82.9,70,25,30,10,5
31,005830,DB손해보험,188500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.21,1.06,2.07,112.4,80.9,69,24,30,10,5
