순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,415640,KB발해인프라,10670,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.4,0.64,2.05,106.2,86.1,96,26,30,25,15
2,055550,신한지주,100900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.31,0.65,1.8,107.6,90.7,87,27,30,25,5
3,105560,KB금융,165200,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.44,0.66,1.65,108.8,90.4,87,27,30,25,5
4,003690,코리안리,13600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.51,0.65,1.97,107.2,86.9,86,26,30,25,5
5,161890,한국콜마,98900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.15,0.6,1.11,122.2,86.6,86,26,30,25,5
6,089860,롯데렌탈,38950,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.37,1.35,1.19,121.8,94.4,83,28,30,10,15
7,033780,KT&G,181700,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.39,0.77,1.61,109.8,90.2,82,27,30,10,15
8,092230,KPX홀딩스,83300,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.49,0.9,5.0,102.9,83.8,80,25,30,10,15
9,001450,현대해상,38450,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.63,0.97,1.04,117.8,93.2,73,28,30,10,5
10,086790,하나금융지주,123000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.62,1.06,1.61,107.2,89.6,72,27,30,10,5
11,417310,코람코더원리츠,10800,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,1.92,1.78,1.29,113.1,94.7,63,28,10,10,15
12,002810,삼영무역,23200,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.97,2.16,1.18,120.3,93.9,63,28,10,10,15
13,483650,달바글로벌,256000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.93,0.88,0.77,139.1,92.9,63,28,10,10,15
14,078930,GS,87500,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.92,1.49,0.92,125.6,96.5,54,29,10,10,5
