순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,417310,코람코더원리츠,10930,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.05,0.56,0.69,112.1,86.6,96,26,30,25,15
2,009420,한올바이오파마,59700,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.29,0.69,0.4,113.4,91.4,87,27,30,25,5
3,010950,S-Oil,147600,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.18,0.69,1.01,129.2,91.2,87,27,30,25,5
4,317400,자이에스앤디,10030,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.52,1.86,0.84,213.9,98.5,85,30,30,10,15
5,089860,롯데렌탈,45000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.27,2.04,0.91,137.3,89.1,82,27,30,10,15
6,007070,GS리테일,27700,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,0.99,0.72,119.2,82.1,80,25,30,10,15
7,161390,한국타이어앤테크놀로지,71600,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.57,0.99,0.48,111.1,81.3,79,24,30,10,15
8,002810,삼영무역,23550,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.31,0.77,1.61,118.6,80.6,79,24,30,10,15
9,055550,신한지주,107400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.31,0.83,0.51,111.7,79.8,79,24,30,10,15
10,086790,하나금융지주,133000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.3,0.89,0.63,112.9,76.8,78,23,30,10,15
11,005935,삼성전자우,195600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.42,0.98,0.69,122.9,94.7,73,28,30,10,5
12,005950,이수화학,15650,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.57,1.3,0.93,145.5,93.9,73,28,30,10,5
13,006360,GS건설,35350,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),4,0.13,0.94,0.64,128.1,92.4,73,28,30,10,5
14,278470,에이피알,390500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.26,1.06,0.71,111.7,84.1,70,25,30,10,5
15,028670,팬오션,5790,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.37,1.03,0.67,112.0,78.8,69,24,30,10,5
16,483650,달바글로벌,228500,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.68,2.03,0.38,119.2,78.3,68,23,30,10,5
17,105560,KB금융,168500,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.22,0.76,0.74,108.3,75.0,67,22,30,10,5
18,181710,NHN,74700,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,6.68,3.89,0.48,194.5,98.0,64,29,10,10,15
19,005090,SGC에너지,63900,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.89,1.98,0.42,139.4,96.2,64,29,10,10,15
20,007340,DN오토모티브,58900,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),3,2.6,2.21,3.91,159.9,95.7,64,29,10,10,15
21,078930,GS,117000,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.91,1.75,0.85,159.8,95.2,64,29,10,10,15
22,161890,한국콜마,136700,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.56,3.3,0.48,161.0,93.2,63,28,10,10,15
23,001450,현대해상,45350,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,1.15,1.59,1.66,135.5,86.4,61,26,10,10,15
24,003690,코리안리,15290,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.71,0.91,1.84,118.5,79.3,59,24,10,10,15
25,092230,KPX홀딩스,93000,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.92,1.52,5.38,113.5,77.8,58,23,10,10,15
26,001800,오리온홀딩스,26800,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.81,1.0,1.04,110.5,73.2,47,22,10,10,5
