순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,086790,하나금융지주,128600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.21,0.59,1.1,110.8,85.4,96,26,30,25,15
2,055550,신한지주,103600,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.24,0.61,1.11,109.3,82.6,95,25,30,25,15
3,092230,KPX홀딩스,86000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.47,0.58,0.93,105.8,74.7,92,22,30,25,15
4,105560,KB금융,170700,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.11,0.56,1.12,111.2,84.8,85,25,30,25,5
5,483650,달바글로벌,232000,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.51,0.7,0.56,123.9,83.6,85,25,30,25,5
6,003690,코리안리,13830,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.3,0.56,1.67,108.4,81.8,85,25,30,25,5
7,001800,오리온홀딩스,25850,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.18,0.68,0.9,108.0,78.5,84,24,30,25,5
8,417310,코람코더원리츠,10750,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.37,0.91,4.44,111.5,92.2,83,28,30,10,15
9,161890,한국콜마,102300,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.33,0.61,0.36,124.3,76.0,83,23,30,25,5
10,002810,삼영무역,23350,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.61,1.24,4.76,119.6,91.2,82,27,30,10,15
11,089860,롯데렌탈,39400,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.26,0.91,0.78,122.2,88.9,82,27,30,10,15
12,007070,GS리테일,24800,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.18,0.99,1.88,108.3,83.1,70,25,30,10,5
13,005945,NH투자증권우,25300,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.62,0.76,1.61,103.3,81.3,69,24,30,10,5
14,078930,GS,95000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.85,1.27,0.7,133.8,93.7,63,28,10,10,15
15,006340,대원전선,15450,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),4,1.57,1.54,2.84,184.8,99.5,55,30,10,10,5
16,007340,DN오토모티브,46400,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.08,0.82,0.91,130.1,93.9,53,28,10,10,5
17,028670,팬오션,5860,관망/유지,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,2.0,2.44,0.58,115.4,86.9,51,26,10,10,5
