순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,002810,삼영무역,23300,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.59,2.0,1.12,120.5,96.2,84,29,30,10,15
2,033780,KT&G,182600,강력매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.2,0.98,1.58,110.1,92.9,83,28,30,10,15
3,089860,롯데렌탈,37000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.68,1.5,3.59,115.6,93.5,73,28,30,10,5
4,161890,한국콜마,97400,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.17,0.88,2.1,120.0,87.7,71,26,30,10,5
5,383220,F&F,77600,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.19,0.84,3.19,108.7,87.2,71,26,30,10,5
6,271560,오리온,135000,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.52,1.16,2.17,105.4,85.9,71,26,30,10,5
7,417310,코람코더원리츠,10630,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.85,1.38,1.62,111.1,97.0,64,29,10,10,15
8,483650,달바글로벌,265000,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.71,1.71,2.27,143.4,96.7,64,29,10,10,15
9,078930,GS,84100,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.9,1.08,1.42,120.4,96.0,54,29,10,10,5
