순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,009420,한올바이오파마,56900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.36,0.69,1.47,108.8,90.4,87,27,30,25,5
2,483650,달바글로벌,241500,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),2,0.35,0.62,0.8,127.6,87.4,86,26,30,25,5
3,317400,자이에스앤디,8750,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.39,2.89,0.74,192.0,98.7,85,30,30,10,15
4,161390,한국타이어앤테크놀로지,70000,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.32,0.59,0.76,109.1,80.1,84,24,30,25,5
5,161890,한국콜마,105900,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.24,0.57,1.12,127.3,78.8,84,24,30,25,5
6,078930,GS,97300,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.19,0.89,0.79,135.4,94.7,83,28,30,10,15
7,105560,KB금융,171700,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.25,0.52,0.86,111.1,76.0,83,23,30,25,5
8,089860,롯데렌탈,42800,강력매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,0.36,1.7,2.24,132.0,91.4,82,27,30,10,15
9,417310,코람코더원리츠,10910,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.48,0.88,0.4,112.6,91.2,82,27,30,10,15
10,002810,삼영무역,23550,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.62,1.2,0.54,119.8,89.6,82,27,30,10,15
11,055550,신한지주,106400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.62,0.87,0.82,111.6,79.0,79,24,30,10,15
12,086790,하나금융지주,130400,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.4,0.74,1.43,111.6,78.0,78,23,30,10,15
13,092230,KPX홀딩스,87900,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.35,0.86,1.15,107.8,76.5,78,23,30,10,15
14,005090,SGC에너지,56200,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),1,0.46,1.61,0.69,125.3,97.2,74,29,30,10,5
15,005950,이수화학,14860,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.65,0.83,1.14,140.5,95.7,74,29,30,10,5
16,010950,S-Oil,139600,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.45,0.8,0.39,123.9,92.9,73,28,30,10,5
17,028670,팬오션,5830,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.65,1.19,0.6,113.9,84.3,70,25,30,10,5
18,001450,현대해상,41000,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.95,0.9,3.73,123.8,88.6,62,27,10,10,15
19,007070,GS리테일,28400,매수,Stage 2B (추세 확장 국면),2차 타점 (피벗 거래량 돌파),2,1.24,2.09,0.68,123.3,86.9,61,26,10,10,15
20,003690,코리안리,14650,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.92,1.06,1.97,114.2,84.1,60,25,10,10,15
21,001800,오리온홀딩스,27950,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.11,0.71,0.76,116.1,83.8,60,25,10,10,15
22,033780,KT&G,185700,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.99,1.05,0.69,110.7,76.8,58,23,10,10,15
23,007340,DN오토모티브,48450,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.82,0.85,0.51,134.2,93.9,53,28,10,10,5
24,006360,GS건설,34900,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),3,0.86,1.71,2.11,128.4,92.7,53,28,10,10,5
25,278470,에이피알,387000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.81,1.32,0.78,112.1,87.1,51,26,10,10,5
