순위,종목코드,종목명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,RS상대강도(백분위),종합점수,score_rs,score_vcp,score_vol,score_pivot
1,417310,코람코더원리츠,10680,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.25,0.47,0.33,110.9,93.5,98,28,30,25,15
2,002810,삼영무역,21650,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.56,0.61,0.43,111.2,90.2,97,27,30,25,15
3,415640,KB발해인프라,10650,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.27,0.42,0.35,105.8,81.9,95,25,30,25,15
4,092230,KPX홀딩스,84900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.29,0.62,0.6,104.6,80.1,94,24,30,25,15
5,105560,KB금융,167900,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.35,0.61,0.31,109.5,88.4,87,27,30,25,5
6,086790,하나금융지주,126800,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.35,0.67,0.4,109.5,87.2,86,26,30,25,5
7,055550,신한지주,101300,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),2,0.31,0.7,0.3,107.1,85.1,86,26,30,25,5
8,003690,코리안리,13560,강력매수,Stage 2A (돌파 초입 우량),1차 타점 (VCP 수렴 완료),1,0.36,0.58,0.32,106.4,84.4,85,25,30,25,5
9,161890,한국콜마,97800,강력매수,Stage 2B (추세 확장 국면),1차 타점 (VCP 수렴 완료),1,0.16,0.51,0.48,119.2,79.1,84,24,30,25,5
10,078930,GS,93000,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.61,1.29,0.73,131.5,94.7,83,28,30,10,15
11,089860,롯데렌탈,39250,강력매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,0.39,0.95,0.15,121.9,92.2,83,28,30,10,15
12,007070,GS리테일,24750,매수,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,0.11,0.97,0.22,108.2,85.9,71,26,30,10,5
13,005950,이수화학,13580,매수,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.79,0.45,1.19,130.1,95.7,69,29,10,25,5
14,007340,DN오토모티브,42150,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),1,0.98,0.79,0.88,118.7,92.9,53,28,10,10,5
15,483650,달바글로벌,241000,관망/유지,Stage 2B (추세 확장 국면),조건 미달 (수렴 진행중),2,1.18,0.89,1.02,129.1,90.7,52,27,10,10,5
16,028670,팬오션,5610,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),2,1.56,2.71,0.84,110.7,87.4,51,26,10,10,5
17,005945,NH투자증권우,24800,관망/유지,Stage 2A (돌파 초입 우량),조건 미달 (수렴 진행중),1,0.87,0.89,0.37,101.4,83.1,50,25,10,10,5
